video_id,likes,thumbnail_link,extracted_text,labels,web_entities
rRuifrLicbI,38376,https://i.ytimg.com/vi/rRuifrLicbI/default.jpg,HOT ONES IN,"['Facial expression', 'Smile', 'Happiness', 'Bangs', 'Bottle', 'Food']","['Hot Ones', 'Hot Ones hot sauce', 'Buffalo wing', 'Hot Sauce', 'Episode', 'create', 'Natalie Portman Pirouettes in Pain While Eating Spicy Wings', 'Teyana Taylor Battles One Hot Sauce After Another While Eating Spicy Wings', 'Sauce', 'Jessica Alba']"
wT_yPn3LfNA,60656,https://i.ytimg.com/vi/wT_yPn3LfNA/default.jpg,LADY LIKE,"['Happiness', 'Laughter', 'Love']","['Turn: Travis (Karaoke Version)', 'Tyler Hubbard', 'Amazon Music', 'The Invisible Band', 'Travis', 'IMVDb', 'The Man Who', 'Music video', 'Florida Georgia Line', 'Album']"
Xpw0ts8RTfk,1217,https://i.ytimg.com/vi/Xpw0ts8RTfk/default.jpg,ՈՐ-,"['Aerospace Engineering', 'Outer space', 'Spacecraft', 'Aircraft', 'Astronomical object', 'Advertising', 'Astronomy', 'Universe', 'Science', 'Star']","['Animation', 'Display device', 'Cartoon', 'animated cartoon', 'Computer Monitor']"
-NIP2zgVsRY,18104,https://i.ytimg.com/vi/-NIP2zgVsRY/default.jpg,,"['Gastropods', 'Insect', 'Eating', 'Mollusca', 'Reptile', 'Scaled reptiles']","['Common house gecko', 'Tropical house gecko', 'Reptiles', 'Lizards', 'Mediterranean house gecko', 'Gecko', 'Tokay gecko', 'found', 'Laughing kookaburra', 'Species']"
jDC_QZAFxKI,764,https://i.ytimg.com/vi/jDC_QZAFxKI/default.jpg,REFINERY29,"['Paper', 'Paper Product', 'Pink', 'Heart', 'Box', 'Craft', 'Love', 'Art Paper', 'Gift', 'Gift wrapping']","['Illustration', 'Drawing', 'Illustrator', 'Image', 'Digital illustration', 'Sketch', 'Doodle', 'Text', 'Photograph', 'Art']"
wtegEB9lvaA,249,https://i.ytimg.com/vi/wtegEB9lvaA/default.jpg,FAKE NICE,"['Font', 'Graphics', 'Screenshot', 'Graphic design']","['Screenshot', 'Display device', 'Meter', 'Computer Monitor']"
eIp7PYuAu0k,60869,https://i.ytimg.com/vi/eIp7PYuAu0k/default.jpg,A LIVE:,"['Furniture', 'Sitting', 'Chair', 'Television show', 'Coffee table']",['light-hearted']
BspHjvU11y4,48455,https://i.ytimg.com/vi/BspHjvU11y4/default.jpg,,"['Graphics', 'Screenshot']",[]
-HrakxB4Klo,3455,https://i.ytimg.com/vi/-HrakxB4Klo/default.jpg,,"['Headphones', 'Gadget', 'Headset', 'Peripheral']","['Grizzy & the Lemmings', 'Cartoon', 'Cartoon Network', 'Animation', 'Cartoon Network India', 'Humor', 'Cartoon Cartoons', 'Tom and Jerry', ""Weekend at Benson's"", 'Episode']"
L0xKz5TsYb0,12298,https://i.ytimg.com/vi/L0xKz5TsYb0/default.jpg,vevol,"['Facial expression', 'Happiness', 'Film']","['Screenshot', 'Snipping Tool', 'Computer', 'LEILA. GHARANI', 'Windows 10', 'Computer Monitor', 'screenshot', 'just', 'Personal computer']"
